split,field,value,count,split_total
dev,accent,"bulgarian english,non-native speaker",1,9603
dev,accent,"canadian english,french canadian",1,9603
dev,accent,"eastern european,romanian",1,9603
dev,accent,"england english,british,south england",1,9603
dev,accent,"england english,canadian english",1,9603
dev,accent,"england english,geordie ",1,9603
dev,accent,"england english,norwegian",1,9603
dev,accent,"england english,received pronunciation",1,9603
dev,accent,"england english,south london",1,9603
dev,accent,european english,1,9603
dev,accent,french accent,1,9603
dev,accent,georgian english,1,9603
dev,accent,"german english,sick",1,9603
dev,accent,hungarian english ,1,9603
dev,accent,i have none that i can tell.,1,9603
dev,accent,"india and south asia (india, pakistan, sri lanka),england english",1,9603
dev,accent,"india and south asia (india, pakistan, sri lanka),south indian",1,9603
dev,accent,"india and south asia (india, pakistan, sri lanka),try to maintain originality ",1,9603
dev,accent,indonesia,1,9603
dev,accent,"international school,indonesian",1,9603
dev,accent,israeli,1,9603
dev,accent,israeli english,1,9603
dev,accent,italian,1,9603
dev,accent,"javanese,indonesian english,malaysian english",1,9603
dev,accent,kenyan english accent,1,9603
dev,accent,l2,1,9603
dev,accent,latinamerican,1,9603
dev,accent,"mid-atlantic,england english,united states english",1,9603
dev,accent,nepali,1,9603
dev,accent,north africa,1,9603
dev,accent,"northern irish,belfast ",1,9603
dev,accent,"northern irish,culchie",1,9603
dev,accent,not bad,1,9603
dev,accent,"russian,slavic,cyrilic",1,9603
dev,accent,"scottish english,i have stayed in the scottish borders all my life.",1,9603
dev,accent,slavic,1,9603
dev,accent,"southern african (south africa, zimbabwe, namibia),xhosa,male,black",1,9603
dev,accent,spanish,1,9603
dev,accent,"spanish native with a good level of proficiency in english,colombian",1,9603
dev,accent,"spanish,foreign,non-native",1,9603
dev,accent,"transatlantic english,united states english",1,9603
dev,accent,"unite states midwest,united states english",1,9603
dev,accent,"united states english,australian english,england english,canadian english,hong kong english,greek-made,gaming-english",1,9603
dev,accent,"united states english,canadian english,indo-canadian english",1,9603
dev,accent,"united states english,coastal elite english",1,9603
dev,accent,"united states english,deep south us",1,9603
dev,accent,"united states english,england english,ohio",1,9603
dev,accent,"united states english,hungarian english (english spoken by a hungarian national)",1,9603
dev,accent,"united states english,midwestern missourian drawl",1,9603
dev,accent,"united states english,midwestern states (michigan)",1,9603
dev,accent,"united states english,midwestern,low,demure",1,9603
dev,accent,"united states english,pacific northwest ",1,9603
dev,accent,"united states english,southern draw",1,9603
dev,accent,"united states english,southern united states english,lightly southern",1,9603
dev,accent,"united states english,southwestern united states english",1,9603
dev,accent,west african ,1,9603
dev,accent,"west indies and bermuda (bahamas, bermuda, jamaica, trinidad),england english,scottish english,united states english",1,9603
dev,accent,выраженный украинский акцент,1,9603
dev,age,twenties,5174,9603
dev,age,thirties,1841,9603
dev,age,fifties,725,9603
dev,age,fourties,650,9603
dev,age,teens,648,9603
dev,age,sixties,340,9603
dev,age,seventies,220,9603
dev,age,eighties,3,9603
dev,age,nineties,2,9603
dev,gender,male,7858,9603
dev,gender,female,1742,9603
dev,gender,non-binary,3,9603
test,accent,united states english,4718,9179
test,accent,"india and south asia (india, pakistan, sri lanka)",1944,9179
test,accent,england english,943,9179
test,accent,canadian english,271,9179
test,accent,australian english,250,9179
test,accent,"southern african (south africa, zimbabwe, namibia)",126,9179
test,accent,scottish english,81,9179
test,accent,irish english,79,9179
test,accent,filipino,73,9179
test,accent,hong kong english,67,9179
test,accent,malaysian english,63,9179
test,accent,new zealand english,61,9179
test,accent,singaporean english,45,9179
test,accent,welsh english,31,9179
test,accent,"united states english,england english",17,9179
test,accent,german,13,9179
test,accent,"west indies and bermuda (bahamas, bermuda, jamaica, trinidad)",12,9179
test,accent,"german english,non native speaker",9,9179
test,accent,nigeria english,8,9179
test,accent,"liverpool english,lancashire english,england english",6,9179
test,accent,"united states english,canadian english",6,9179
test,accent,"united states english,midwestern,minnesotan",6,9179
test,accent,russian,5,9179
test,accent,french,4,9179
test,accent,icelandic,4,9179
test,accent,northern irish english,4,9179
test,accent,"united states english,midwestern",4,9179
test,accent,"united states english,midwestern,low,demure",4,9179
test,accent,brazilian,3,9179
test,accent,dutch,3,9179
test,accent,dutch english,3,9179
test,accent,"england english,southern english,sussex",3,9179
test,accent,german accent,3,9179
test,accent,german english,3,9179
test,accent,"slavic,east european,polish",3,9179
test,accent,"south german accent,alemannic german accent,german,south-west german",3,9179
test,accent,"united states english,californian",3,9179
test,accent,"united states english,india and south asia (india, pakistan, sri lanka)",3,9179
test,accent,argentine english,2,9179
test,accent,"australian english,hybrid united states and australian ",2,9179
test,accent,austrian,2,9179
test,accent,bangladeshi english,2,9179
test,accent,"british with slightly brazilian accent,british and slightly brazilian ",2,9179
test,accent,"canadian english,filipino",2,9179
test,accent,"canadian english,western canada",2,9179
test,accent,chilean non native english,2,9179
test,accent,chinese,2,9179
test,accent,eastern european english,2,9179
test,accent,"england english, i speak like a typical south east england, in a soft south london accent.",2,9179
test,accent,"england english,black country,west midlands",2,9179
test,accent,"england english,london english",2,9179
test,accent,"england english,new zealand english",2,9179
test,accent,"england english,received pronunciation,london accent ",2,9179
test,accent,"england english,spanglish",2,9179
test,accent,"england english,yorkshire",2,9179
test,accent,"england english,yorkshire english",2,9179
test,accent,english (uk),2,9179
test,accent,english ghanaian,2,9179
test,accent,english with a french accent ,2,9179
test,accent,finnish,2,9179
test,accent,french canadian,2,9179
test,accent,french speaking english,2,9179
test,accent,ghanaian,2,9179
test,accent,"india and south asia (india, pakistan, sri lanka),bangladeshi english",2,9179
test,accent,israeli english,2,9179
test,accent,israeli's accent ,2,9179
test,accent,italian,2,9179
test,accent,"javanese,indonesian english,malaysian english",2,9179
test,accent,kenyan ,2,9179
test,accent,kenyan english accent,2,9179
test,accent,non native,2,9179
test,accent,northern cali,2,9179
test,accent,northern english,2,9179
test,accent,norwegian,2,9179
test,accent,"persian,iranian",2,9179
test,accent,"scottish english,highland,east highland",2,9179
test,accent,slavic,2,9179
test,accent,slavic english,2,9179
test,accent,slovak,2,9179
test,accent,south america,2,9179
test,accent,"southern californian,united states english",2,9179
test,accent,strong russian accent,2,9179
test,accent,swedish,2,9179
test,accent,tibetan american ,2,9179
test,accent,"united states english,australian english",2,9179
test,accent,"united states english,central new york accent",2,9179
test,accent,"united states english,chicago/midwestern",2,9179
test,accent,"united states english,mid atlantic",2,9179
test,accent,"united states english,midwest",2,9179
test,accent,"united states english,midwest us",2,9179
test,accent,"united states english,midwestern rural",2,9179
test,accent,"united states english,midwestern united states",2,9179
test,accent,"united states english,midwestern,african american ,midwestern wisconsin,wisconsin",2,9179
test,accent,"united states english,minnesotan english",2,9179
test,accent,"united states english,pacific northwest ",2,9179
test,accent,"united states english,russian",2,9179
test,accent,"united states english,sacramento",2,9179
test,accent,"united states english,slavic",2,9179
test,accent,"united states english,slight english ring",2,9179
test,accent,"united states english,spanish,very sexy ,very good,i sound professional ",2,9179
test,accent,"united states english,united states-west coast-alaska,united states-midwestern",2,9179
test,accent,"a bit country, not too far southern of a dialect, with obvious manners",1,9179
test,accent,alabama black american,1,9179
test,accent,"algeria,algerian ",1,9179
test,accent,american,1,9179
test,accent,american english with swedish accent,1,9179
test,accent,arabic english,1,9179
test,accent,argentina,1,9179
test,accent,"australian english,canadian english",1,9179
test,accent,"australian english,east africa (uganda)",1,9179
test,accent,azerbaijani,1,9179
test,accent,balkan,1,9179
test,accent,"bangladeshi,bangladesh english",1,9179
test,accent,bengali english,1,9179
test,accent,british americanized english,1,9179
test,accent,british english,1,9179
test,accent,"british english,london english",1,9179
test,accent,cajun french,1,9179
test,accent,californian accent,1,9179
test,accent,"canadian english,english hungarian",1,9179
test,accent,"canadian english,french",1,9179
test,accent,"canadian english,welsh english",1,9179
test,accent,canadian latino immigrant,1,9179
test,accent,catalan,1,9179
test,accent,chicago italian,1,9179
test,accent,chinese accent,1,9179
test,accent,chinese accent of english,1,9179
test,accent,chinese english,1,9179
test,accent,chinglish,1,9179
test,accent,colombian,1,9179
test,accent,colombian living in brazil for 20 years,1,9179
test,accent,connecticut/western massachusetts ,1,9179
test,accent,deformato,1,9179
test,accent,eastern european,1,9179
test,accent,"england english, north yorkshire",1,9179
test,accent,"england english,british indian",1,9179
test,accent,"england english,canadian english",1,9179
test,accent,"england english,dutch english",1,9179
test,accent,"england english,east anglian english",1,9179
test,accent,"england english,eastury english",1,9179
test,accent,"england english,educated rural uk english",1,9179
test,accent,"england english,hong kong english",1,9179
test,accent,"england english,india and south asia (india, pakistan, sri lanka),northern english",1,9179
test,accent,"england english,india and south asia (india, pakistan, sri lanka),southern african (south africa, zimbabwe, namibia)",1,9179
test,accent,"england english,irish english",1,9179
test,accent,"england english,kent",1,9179
test,accent,"england english,london,south england",1,9179
test,accent,"england english,london/cockney accent",1,9179
test,accent,"england english,luton,dunstable",1,9179
test,accent,"england english,mancunion",1,9179
test,accent,"england english,midlands english",1,9179
test,accent,"england english,nigerian english",1,9179
test,accent,"england english,north of england,lancashire,mild scouse",1,9179
test,accent,"england english,rp",1,9179
test,accent,"england english,sore throat,masculine ",1,9179
test,accent,"england english,south london",1,9179
test,accent,"england english,south london and essex",1,9179
test,accent,"england english,southern england",1,9179
test,accent,"england english,surrey accent, southern english.",1,9179
test,accent,"england english,western european non-native english",1,9179
test,accent,england non-native,1,9179
test,accent,english russia,1,9179
test,accent,european 2nd language english,1,9179
test,accent,"filipino,waray-waray dialect",1,9179
test,accent,french accent,1,9179
test,accent,french-origins english,1,9179
test,accent,german native,1,9179
test,accent,greek,1,9179
test,accent,hungarian,1,9179
test,accent,hybrid indian/australian/american,1,9179
test,accent,i am spanish but i lived in france for 14 years which changed even my spanish accent. so i have also a french language influence from ,1,9179
test,accent,i have a london/esssex uk accent.,1,9179
test,accent,i speak as if i am there.,1,9179
test,accent,"india and south asia (india, pakistan, sri lanka),bangladesh",1,9179
test,accent,"india and south asia (india, pakistan, sri lanka),canadian english",1,9179
test,accent,"india and south asia (india, pakistan, sri lanka),west indies and bermuda (bahamas, bermuda, jamaica, trinidad)",1,9179
test,accent,indian,1,9179
test,accent,indonesia,1,9179
test,accent,indonesian,1,9179
test,accent,international,1,9179
test,accent,israeli-russian-mixed english,1,9179
test,accent,israeli-usa-mix,1,9179
test,accent,italian accent from northern italy (milan),1,9179
test,accent,italian/us-english,1,9179
test,accent,kenyan accent,1,9179
test,accent,"kenyan, and english",1,9179
test,accent,latvian english,1,9179
test,accent,"malaysian english,england english",1,9179
test,accent,"manchester, english english, mancunian, british english",1,9179
test,accent,mandarin english,1,9179
test,accent,mid atlantic united states - philadelphia suburbs,1,9179
test,accent,"midatlantic,england english",1,9179
test,accent,midwestern,1,9179
test,accent,mix of american and british accent,1,9179
test,accent,mixed accent,1,9179
test,accent,mongolian,1,9179
test,accent,"nasal,belgian",1,9179
test,accent,native lithuanian english speaker,1,9179
test,accent,nepalese,1,9179
test,accent,nepali,1,9179
test,accent,"nepali,nepali american,nepali english",1,9179
test,accent,non native english,1,9179
test,accent,non native french speaker ,1,9179
test,accent,north african,1,9179
test,accent,northern africa accent,1,9179
test,accent,"northern irish, english",1,9179
test,accent,of afrikan kenyan descent with some american influence ,1,9179
test,accent,"ontario,canadian english",1,9179
test,accent,polish,1,9179
test,accent,polish accent,1,9179
test,accent,polish/nordic english,1,9179
test,accent,"queenslandish, lived with my grandfather for a time who has a mix between the australian and an english accent.",1,9179
test,accent,"russian,i don't know,kazakh",1,9179
test,accent,"scottish english,dundonian scottish",1,9179
test,accent,"scottish english,renfrewshire. scotland",1,9179
test,accent,"serbian,united states english",1,9179
test,accent,"singaporean english,malaysian english",1,9179
test,accent,"slavic accent,russian accent",1,9179
test,accent,slight spanish accent when speaking english,1,9179
test,accent,south african english,1,9179
test,accent,south indian,1,9179
test,accent,southern californian,1,9179
test,accent,southern counties english ,1,9179
test,accent,southern texas spanish american,1,9179
test,accent,spanish influenced,1,9179
test,accent,sunderland english,1,9179
test,accent,swedish accent,1,9179
test,accent,swedish english,1,9179
test,accent,tatar english,1,9179
test,accent,thai,1,9179
test,accent,third culture kid / south american english,1,9179
test,accent,"transatlantic english,united states english",1,9179
test,accent,trinidad and tobago,1,9179
test,accent,tunisian english,1,9179
test,accent,turkish accent,1,9179
test,accent,turkmen,1,9179
test,accent,uk south coast,1,9179
test,accent,"united states english with slight vocal tremor and high-pitched ""hoarse"" voice.",1,9179
test,accent,"united states english,a midwestern accent, specific to the st. louis area.",1,9179
test,accent,"united states english,american midwestern",1,9179
test,accent,"united states english,australian english,united kingdom english",1,9179
test,accent,"united states english,brazilian,latin",1,9179
test,accent,"united states english,cajun",1,9179
test,accent,"united states english,california,30 year old adult male",1,9179
test,accent,"united states english,cool",1,9179
test,accent,"united states english,country",1,9179
test,accent,"united states english,danish",1,9179
test,accent,"united states english,england english,israeli,faroe islands",1,9179
test,accent,"united states english,filipino",1,9179
test,accent,"united states english,gay",1,9179
test,accent,"united states english,german",1,9179
test,accent,"united states english,i personally don't hear it but if present i would attribute to english being my second language, ",1,9179
test,accent,"united states english,i personally don't hear it but if present i would attribute to english being my second language, ,spanish was my first",1,9179
test,accent,"united states english,latvian",1,9179
test,accent,"united states english,mid-west with speach and mind problems from ms,mid western with a little southern, with speach problems related to ms.",1,9179
test,accent,"united states english,midwest,chicago ",1,9179
test,accent,"united states english,minnesotan",1,9179
test,accent,"united states english,new york english",1,9179
test,accent,"united states english,non-native",1,9179
test,accent,"united states english,pennsylvanian",1,9179
test,accent,"united states english,philadelphia",1,9179
test,accent,"united states english,portuguese",1,9179
test,accent,"united states english,slovenian",1,9179
test,accent,"united states english,south atlantic (falkland islands, saint helena)",1,9179
test,accent,"united states english,tinged with southern accent,midwestern united states - chicago",1,9179
test,accent,"united states english,turkish",1,9179
test,accent,"united states english,variable",1,9179
test,accent,urban hibernian,1,9179
test,accent,"welsh english,south east wales",1,9179
test,accent,west coast american english,1,9179
test,age,twenties,5220,9179
test,age,thirties,1549,9179
test,age,teens,706,9179
test,age,fourties,651,9179
test,age,fifties,624,9179
test,age,sixties,259,9179
test,age,seventies,166,9179
test,age,nineties,3,9179
test,age,eighties,1,9179
test,gender,male,7447,9179
test,gender,female,1728,9179
test,gender,do_not_wish_to_say,2,9179
test,gender,non-binary,2,9179
train,accent,united states english,346291,704750
train,accent,england english,99512,704750
train,accent,"india and south asia (india, pakistan, sri lanka)",66715,704750
train,accent,canadian english,51286,704750
train,accent,"non native speaker,german english",34527,704750
train,accent,australian english,28543,704750
train,accent,"southern african (south africa, zimbabwe, namibia)",13570,704750
train,accent,northern irish,7902,704750
train,accent,irish english,7486,704750
train,accent,new zealand english,5777,704750
train,accent,scottish english,5442,704750
train,accent,filipino,5147,704750
train,accent,hong kong english,3118,704750
train,accent,singaporean english,2332,704750
train,accent,malaysian english,2071,704750
train,accent,"england english,new zealand english",2033,704750
train,accent,"united states english,england english",2002,704750
train,accent,"england english,liverpool english,lancashire english",1386,704750
train,accent,welsh english,1205,704750
train,accent,"transatlantic english,united states english",923,704750
train,accent,"united states english,midwestern,low,demure",919,704750
train,accent,"united states english,transatlantic english",839,704750
train,accent,"united states english,scandinavian",669,704750
train,accent,"united states english,midwestern,minnesotan",598,704750
train,accent,"united states english,southern united states",456,704750
train,accent,"west indies and bermuda (bahamas, bermuda, jamaica, trinidad)",395,704750
train,accent,"united states english,canadian english",346,704750
train,accent,"southern african (south africa, zimbabwe, namibia),south african accent ",324,704750
train,accent,"united states english,southern united states,new orleans dialect",316,704750
train,accent,"united states english,minnesotan",287,704750
train,accent,"england english,academic southern english",278,704750
train,accent,nepali,273,704750
train,accent,east african khoja,254,704750
train,accent,german,229,704750
train,accent,"northern irish,culchie",222,704750
train,accent,polish,212,704750
train,accent,eastern european english,210,704750
train,accent,"united states english,southwestern united states english",210,704750
train,accent,austrian,196,704750
train,accent,"united states english,unite states midwest",194,704750
train,accent,"england english,well spoken softly spoken home counties gay,gay male,softly spoken male,well spoken male",178,704750
train,accent,"england english,canadian english",172,704750
train,accent,"united states english,pacific northwest ",162,704750
train,accent,"england english,northern england",156,704750
train,accent,"united states english,midwestern states (michigan)",151,704750
train,accent,"united states english,midwestern united states english",151,704750
train,accent,"united states english,filipino",141,704750
train,accent,"united states english,midwestern usa",133,704750
train,accent,german english,128,704750
train,accent,"southern united states,united states english",128,704750
train,accent,thai,128,704750
train,accent,slavic,125,704750
train,accent,"slavic,polish",123,704750
train,accent,"united states english,midwestern",120,704750
train,accent,nigeria english,118,704750
train,accent,"england english,southern english,sussex",117,704750
train,accent,"england english,welsh english",115,704750
train,accent,"canadian english,ontario",110,704750
train,accent,"new zealand english,england english",107,704750
train,accent,"southern african (south africa, zimbabwe, namibia),my accent is influenced by the phones of all letters within a sentence.",107,704750
train,accent,"united states english,caribbean and british mixed with some new york accents",104,704750
train,accent,bulgarian,103,704750
train,accent,dutch,103,704750
train,accent,dutch english,103,704750
train,accent,"india and south asia (india, pakistan, sri lanka),try to maintain originality ",103,704750
train,accent,russian,99,704750
train,accent,"united states english,southern californian",97,704750
train,accent,"united states english,mid-atlantic united states english,philadelphia, pennsylvania, united states english,philadelphia style united states english",96,704750
train,accent,"england english,south german / swiss accent",94,704750
train,accent,"england english,south london",91,704750
train,accent,south indian,88,704750
train,accent,"united states english,midwest",85,704750
train,accent,"england english,northern english",84,704750
train,accent,"united states english,boston,like a kennedy ",84,704750
train,accent,"england english,yorkshire",83,704750
train,accent,"southern californian,united states english",83,704750
train,accent,"united states english,australian english,england english,new zealand english,welsh english,mixed-accent english",83,704750
train,accent,"england english,india and south asia (india, pakistan, sri lanka),northern english",79,704750
train,accent,"european,german,non-native,foreign",78,704750
train,accent,"united states english,united states, west coast english ",77,704750
train,accent,bangladeshi english,75,704750
train,accent,"united states english,slight lisp",74,704750
train,accent,"united states english,india and south asia (india, pakistan, sri lanka)",73,704750
train,accent,southern drawl,69,704750
train,accent,italian,67,704750
train,accent,northumbrian british english,66,704750
train,accent,"non-native,spanish,foreign",64,704750
train,accent,"northern irish,norwegian,yorkshire",64,704750
train,accent,"slavic,polish,east european",64,704750
train,accent,"liverpool english,lancashire english,england english",63,704750
train,accent,"united states english,south texas,slightly effeminate,conversational",63,704750
train,accent,french,62,704750
train,accent,"india and south asia (india, pakistan, sri lanka),singaporean english",62,704750
train,accent,mix of american and british accent,60,704750
train,accent,"united states english,texas",60,704750
train,accent,"south german accent,alemannic german accent,german,south-west german",59,704750
train,accent,"united states english,some time spent in scotland, mostly affecting inflection, i think",59,704750
train,accent,israeli,56,704750
train,accent,"united states english,upstate new york",56,704750
train,accent,"fluent,esl,european",55,704750
train,accent,"united states english,southern ohio english",55,704750
train,accent,"united states english,new york english",53,704750
train,accent,"england english,german english",52,704750
train,accent,"mid-atlantic united states english,philadelphia, pennsylvania, united states english,united states english,philadelphia style united states english",51,704750
train,accent,"england english,india and south asia (india, pakistan, sri lanka)",50,704750
train,accent,nigerian accent,49,704750
train,accent,"german,south-west german,south german accent,alemannic german accent",48,704750
train,accent,"united states english,england english,india and south asia (india, pakistan, sri lanka)",47,704750
train,accent,"united states english,californian accent",45,704750
train,accent,"united states english,speech impediment,rhotacism",44,704750
train,accent,british accent,42,704750
train,accent,"german english,non native speaker",42,704750
train,accent,"united states english,england english,canadian english",42,704750
train,accent,british english / received pronunciation (rp),41,704750
train,accent,"united states english,midwestern us english (united states)",39,704750
train,accent,"singaporean english,malaysian english",38,704750
train,accent,strong latvian accent,38,704750
train,accent,"united states english,gay",38,704750
train,accent,"united states english,england english,transatlantic english",37,704750
train,accent,chinese english,36,704750
train,accent,england west county,36,704750
train,accent,"united states english,new yorker",36,704750
train,accent,kazakhstan english,35,704750
train,accent,croatian english,34,704750
train,accent,"eastern european,romanian",34,704750
train,accent,indonesian,34,704750
train,accent,"england english,male,southern uk",33,704750
train,accent,kenyan english accent,32,704750
train,accent,"united states english,central american ",32,704750
train,accent,"united states english,little latino,second language",32,704750
train,accent,ukrainian,31,704750
train,accent,"united states english,washington state",31,704750
train,accent,"england english,british",30,704750
train,accent,"england english,midatlantic",30,704750
train,accent,"england,london,academic",30,704750
train,accent,"india and south asia (india, pakistan, sri lanka),international indian accent",30,704750
train,accent,"ontario,canadian english",30,704750
train,accent,"england english,india and south asia (india, pakistan, sri lanka),nepalese",29,704750
train,accent,israeli english,29,704750
train,accent,latin english,29,704750
train,accent,"slavic,east european,polish",29,704750
train,accent,"united states english,california,valley",29,704750
train,accent,"united states english,england english,irish english,scottish english,danish english",29,704750
train,accent,latvian,28,704750
train,accent,"united states english,asian-american english",28,704750
train,accent,"united states english,cool",28,704750
train,accent,"england english,malaysian english",27,704750
train,accent,"united states english,california english,southern us english",27,704750
train,accent,"romanian,eastern european",26,704750
train,accent,"united states english,england english,mid-atlantic",26,704750
train,accent,"united states english,mid-atlantic",26,704750
train,accent,with heavy cantonese accent,26,704750
train,accent,"united states english,spoke chinese when little,90% pennsylvanian accent, 10% chinese accent",25,704750
train,accent,american south east georgia dialect,24,704750
train,accent,brazilian,24,704750
train,accent,german accent,24,704750
train,accent,"united states english,upper midwestern",24,704750
train,accent,"australian english,england english",23,704750
train,accent,"england english,south london and essex",23,704750
train,accent,"england english,united states english",23,704750
train,accent,generic european,23,704750
train,accent,"england english,femalepublic school accent, quiet and under articualted finals",22,704750
train,accent,european english,22,704750
train,accent,"united states english,australian english",22,704750
train,accent,"united states english,england english,brazilian accent,efl",22,704750
train,accent,"united states english,mid-west united states english",22,704750
train,accent,west african ,22,704750
train,accent,"england english,southern african (south africa, zimbabwe, namibia)",21,704750
train,accent,"french accent,french mid level accent",21,704750
train,accent,swedish accent,21,704750
train,accent,"england english,southern england english with a subtle hint of irish english.",20,704750
train,accent,thai english,20,704750
train,accent,"united states english,slight dutch accent",20,704750
train,accent,kenyan ,19,704750
train,accent,south australia,19,704750
train,accent,"united states english,england english,english with polish accent,slavic english",19,704750
train,accent,"united states english,southern californian english",19,704750
train,accent,"england english,london english",18,704750
train,accent,"midatlantic,england english",18,704750
train,accent,2nd language ,17,704750
train,accent,"canadian english,german english",17,704750
train,accent,"england english,scottish english",17,704750
train,accent,european,17,704750
train,accent,hispanic,17,704750
train,accent,slovak,17,704750
train,accent,"united states english,england english,scottish english,west indies and bermuda (bahamas, bermuda, jamaica, trinidad)",17,704750
train,accent,"academic southern english,england english",16,704750
train,accent,california,16,704750
train,accent,"united states english,okie",16,704750
train,accent,"australian english,educated australian accent",15,704750
train,accent,"australian english,england english,new zealand english",15,704750
